date,price
07/09/2017,1144
08/19/2018,1213
01/10/2018,1069
02/06/2017,1029
07/09/2017,1126
10/14/2017,1259
10/20/2017,275
12/22/2018,152
12/07/2017,999
04/05/2017,1816
09/16/2018,1088
07/01/2018,1716
12/12/2018,19
07/08/2017,46
06/10/2017,183
12/14/2017,964
04/02/2017,1540
02/22/2018,1900
11/20/2017,1062
02/05/2018,506
07/02/2017,1155
05/23/2018,1103
03/04/2017,687
03/23/2017,936
02/23/2017,1627
03/16/2017,245
11/17/2017,500
01/28/2018,1846
02/07/2017,1643
06/20/2018,673
03/30/2018,1874
01/07/2018,474
10/17/2017,1817
07/25/2017,1481
02/09/2018,68
10/11/2017,757
03/16/2017,1323
08/06/2018,955
03/11/2018,321
06/09/2017,190
11/05/2018,36
06/23/2017,744
08/07/2018,1442
01/06/2017,1521
04/26/2018,329
04/23/2017,839
08/26/2018,816
12/23/2017,1856
10/22/2018,1856
08/29/2017,670
10/15/2017,168
05/24/2017,1311
02/15/2018,843
07/13/2017,1824
08/09/2018,1734
03/12/2017,1218
08/09/2018,1879
04/24/2018,589
10/22/2018,1125
06/16/2017,570
08/07/2017,511
07/17/2018,227
08/24/2018,1772
12/22/2018,800
01/25/2018,618
08/09/2017,1817
01/17/2017,835
11/04/2017,1261
01/10/2018,431
11/05/2017,1403
07/25/2017,570
11/05/2018,1861
10/29/2017,1910
05/18/2017,1744
08/05/2018,617
05/06/2018,729
11/28/2018,1645
02/04/2017,1426
11/30/2017,1514
04/11/2018,85
09/22/2017,679
05/09/2017,1324
06/29/2017,1983
02/25/2018,561
07/28/2018,806
09/29/2018,554
01/17/2017,434
02/28/2017,740
11/06/2017,1017
08/24/2018,1105
01/26/2018,851
12/28/2018,1214
09/23/2017,1673
05/23/2017,142
09/23/2018,1558
08/26/2017,1872
11/08/2017,1638
02/02/2018,833
12/15/2018,83
11/22/2018,230
