date,cost
01/01/2016,3500
01/01/2016,4870
01/01/2016,10000
01/01/2016,10500
01/01/2016,11900
01/01/2016,12635
01/01/2016,15000
01/01/2016,15000
01/01/2016,15000
01/01/2016,15289
01/01/2016,15850
01/01/2016,23300
01/01/2016,24000
01/01/2016,24000
01/01/2016,25000
01/01/2016,25000
01/01/2016,29056
01/01/2016,30000
01/01/2016,30000
01/01/2016,31642
01/01/2016,33367
01/01/2016,33998
01/01/2016,34000
01/01/2016,35850
01/01/2016,37650
01/01/2016,43300
01/01/2016,43500
01/01/2016,48557
01/01/2016,50000
01/01/2016,50000
01/01/2016,50000
01/01/2016,50000
01/01/2016,50000
01/01/2016,50000
01/01/2016,50000
01/01/2016,52347
01/01/2016,55000
01/01/2016,73694
01/01/2016,78617
01/01/2016,80000
01/01/2016,81223
01/01/2016,87577
01/01/2016,87760
01/01/2016,90021
01/01/2016,91162
01/01/2016,95570
01/01/2016,100000
01/01/2016,100167
01/01/2016,100182
01/01/2016,108222
01/01/2016,108550
01/01/2016,109831
01/01/2016,114054
01/01/2016,114438
01/01/2016,115016
01/01/2016,117560
01/01/2016,118051
01/01/2016,119630
01/01/2016,119937
01/01/2016,120000
01/01/2016,120099
01/01/2016,120295
01/01/2016,122926
01/01/2016,123773
01/01/2016,123977
01/01/2016,124155
01/01/2016,124709
01/01/2016,124764
01/01/2016,125518
01/01/2016,126916
01/01/2016,127091
01/01/2016,127833
01/01/2016,128347
01/01/2016,128609
01/01/2016,128956
01/01/2016,129005
01/01/2016,129177
01/01/2016,129347
01/01/2016,129473
01/01/2016,129562
01/01/2016,129647
01/01/2016,129797
01/01/2016,129797
01/01/2016,130000
01/01/2016,143204
01/01/2016,200000
01/01/2016,200000
01/01/2016,200000
01/01/2016,220000
01/01/2016,223910
01/01/2016,239850
01/01/2016,242675
01/01/2016,245130
01/01/2016,248993
01/01/2016,276531
01/01/2016,291692
01/01/2016,297075
01/01/2016,299747
01/01/2016,300000
01/01/2016,300000
01/01/2016,300000
01/01/2016,355171
01/01/2016,420000
01/01/2016,497162
01/01/2016,509761
01/01/2016,514150
01/01/2016,520000
01/01/2016,538808
01/01/2016,548550
01/01/2016,550562
01/01/2016,636161
01/01/2016,741700
01/01/2016,1041394
01/01/2016,1045962
01/01/2016,1067431
01/01/2016,1308255
01/01/2016,1397348
01/01/2016,1454865
01/01/2016,1548236
01/01/2016,1662928
01/01/2016,1811778
01/01/2016,1955742
01/01/2016,2230860
01/01/2016,2466420
01/01/2016,2856176
01/01/2016,3240000
01/01/2016,3336623
04/01/2016,24061
11/01/2016,49923
12/01/2016,90573
16/01/2016,25522
01/02/2016,3000
01/02/2016,3414
01/02/2016,14696
01/02/2016,35474
01/02/2016,36976
01/02/2016,63868
01/02/2016,75959
01/02/2016,106214
01/02/2016,181007
01/02/2016,648285
01/03/2016,500
01/03/2016,3350
01/03/2016,5450
01/03/2016,18326
01/03/2016,448542
01/03/2016,560651
14/03/2016,54086
28/03/2016,22861
28/03/2016,32820
29/03/2016,296768
01/04/2016,3600
01/04/2016,14499
01/04/2016,15000
01/04/2016,25000
01/04/2016,33609
01/04/2016,150000
01/04/2016,442086
01/04/2016,499493
02/04/2016,21200
15/04/2016,29146
01/05/2016,-345539
01/05/2016,201112
01/05/2016,285000
01/05/2016,295001
01/05/2016,498272
01/05/2016,798292
09/05/2016,159889
13/05/2016,40995
01/06/2016,1424
01/06/2016,1616
01/06/2016,3000
01/06/2016,3887
01/06/2016,4443
01/06/2016,4950
01/06/2016,5000
01/06/2016,5000
01/06/2016,5000
01/06/2016,6210
01/06/2016,8000
01/06/2016,8400
01/06/2016,11960
01/06/2016,16000
01/06/2016,16000
01/06/2016,17125
01/06/2016,18389
01/06/2016,20000
01/06/2016,25440
01/06/2016,31750
01/06/2016,33000
01/06/2016,35000
01/06/2016,35000
01/06/2016,35000
01/06/2016,58075
01/06/2016,68001
01/06/2016,69195
01/06/2016,76912
01/06/2016,80571
01/06/2016,89017
01/06/2016,100812
01/06/2016,102631
01/06/2016,109637
01/06/2016,114566
01/06/2016,121891
01/06/2016,150000
01/06/2016,499871
01/06/2016,4947951
01/06/2016,6007167
20/06/2016,73247
29/06/2016,25611
01/07/2016,2700
01/07/2016,3000
01/07/2016,5000
01/07/2016,5500
01/07/2016,6100
01/07/2016,8510
01/07/2016,11750
01/07/2016,25000
01/07/2016,60000
01/07/2016,72922
01/07/2016,435063
01/07/2016,2775948
04/07/2016,325662
01/08/2016,-854794
01/08/2016,6800
01/08/2016,10800
01/08/2016,11100
01/08/2016,272473
01/08/2016,739074
01/08/2016,1709586
02/08/2016,1171485
15/08/2016,7000
15/08/2016,29018
15/08/2016,296656
01/09/2016,-970075
01/09/2016,68408
01/09/2016,84257
01/09/2016,390425
01/09/2016,453766
01/09/2016,568131
01/09/2016,610640
01/09/2016,1356177
01/09/2016,1483783
01/09/2016,1605610
01/09/2016,1714058
01/09/2016,1744155
01/09/2016,1750383
01/09/2016,1786484
01/09/2016,1849519
01/09/2016,1940150
01/09/2016,2192331
01/09/2016,2352670
01/09/2016,2510941
01/09/2016,6060188
01/09/2016,6159304
15/09/2016,150000
01/10/2016,2936
01/10/2016,76782
01/10/2016,103792
01/10/2016,456875
01/10/2016,485530
01/10/2016,503335
01/10/2016,503478
01/10/2016,507512
01/10/2016,517213
01/10/2016,518749
01/10/2016,519492
01/10/2016,605120
01/10/2016,605767
01/10/2016,612735
01/10/2016,632078
01/10/2016,647925
01/10/2016,1276291
01/10/2016,1877163
01/10/2016,1938557
01/11/2016,150000
01/11/2016,509099
01/11/2016,519441
01/11/2016,519739
01/11/2016,601611
01/11/2016,608419
01/11/2016,638694
01/11/2016,1176703
01/11/2016,1600200
18/11/2016,517342
01/12/2016,-215973
01/12/2016,-215973
01/12/2016,463314
01/12/2016,489139
01/12/2016,493759
01/12/2016,504825
01/12/2016,508011
01/12/2016,509184
01/12/2016,518821
01/12/2016,519712
01/12/2016,529168
01/12/2016,583138
01/12/2016,620974
01/12/2016,628349
01/12/2016,636595
01/12/2016,637894
01/12/2016,638309
01/12/2016,639453
01/12/2016,642150
01/12/2016,647921
01/12/2016,877013
01/12/2016,1548873
01/01/2017,499376
01/04/2017,82521
01/08/2017,511997
12/09/2017,523698
Start Date,Revised Total Commitment (including overhead)
